,Filename,Error
1,balance_snapshot_february_2021.sql,Schema 'PROD_ANALYTICS.INCREMENTAL_LOGS' does not exist or not authorized.
3,cln_domain_experts_verified_sheet.sql,Object 'RAW.DOMAIN_EXPERTS_VERIFIED.MASTERSHEET' does not exist or not authorized.
5,hubspot_researcher_registration_sync.sql,Object 'RAW.PROLIFIC_WEBAPP_FREQUENT_SYNCS.USER' does not exist or not authorized.
7,rpt_organic_competitors.sql,Schema 'RAW.ORGANIC_COMPETITOR_DATA' does not exist or not authorized.
9,snowplow_unified_base_sessions_lifecycle_manifest.sql,invalid identifier 'UC_ID'
11,cln_hubspot_companies.sql,Object 'PROD_ANALYTICS.STAGING.CLN_HUBSPOT_CONTACTS' does not exist or not authorized.
13,cln_email_change_history.sql,Object 'RAW.RAW_BRAINTREE.TRANSACTIONS' does not exist or not authorized.
15,reconcile_braintree.sql,Object 'RAW.RAW_BRAINTREE.TRANSACTIONS' does not exist or not authorized.
17,sensitive_braintree_transactions.sql,Object 'RAW.RAW_BRAINTREE.TRANSACTIONS' does not exist or not authorized.
19,sensitive_dixa_conversations.sql,invalid identifier 'D._SDC_SOURCE_KEY_ID'
21,cln_waitlist_demographics_summarised.sql,invalid identifier 'SYSDATE'
23,cln_waitlist_demographics_summarised_grouped_2.sql,invalid identifier 'SYSDATE'
26,invoices.sql,Object 'RAW.RAW_BRAINTREE.TRANSACTIONS' does not exist or not authorized.
27,mockup_missing_bank_transfers.sql,100078 (22000): DML operation to table GI33198.PROD_ANALYTICS.MODELLED.MOCKUP_MISSING_BANK_TRANSFERS failed on column TRANSACTION_LOG_ID with error: String 'a4cce2fb0dc0c3999553b66d8c7dbe30' is too long and would be truncated
30,int_study_level_submission_summaries.sql,invalid identifier 'TOTAL_CORRECT_CODES'
32,int_substudy_level_submission_summaries.sql,invalid identifier 'TOTAL_CORRECT_CODES'
34,int_trial_studies.sql,syntax error line 68 at position 8 unexpected 'CASE'.
35,int_trial_studies.sql,syntax error line 71 at position 29 unexpected ''SECOND''.
36,int_trial_studies.sql,syntax error line 72 at position 20 unexpected '/'.
37,int_trial_studies.sql,syntax error line 91 at position 11 unexpected 'ts'.
38,hlp_study_builder_lookup.sql,10:20:44  Done. PASS=259 WARN=0 ERROR=21 SKIP=326 TOTAL=606
